State,County,Topic,Age,Data_Value,Low_Bound,Up_Bound
AK,North Slope,Stroke,Ages 65 years and older,8585.5,6298.8,11955.5
AK,Northwest Arctic,Coronary Heart Disease,Ages 35-64 years,1143.8,775.2,1641.3
AK,Northwest Arctic,Coronary Heart Disease,Ages 65 years and older,13839.4,9936.6,18588.3
AK,Northwest Arctic,Stroke,Ages 35-64 years,303.1,201.5,454.4
AK,Northwest Arctic,Stroke,Ages 65 years and older,6918.2,5274.5,9718.7
AK,"Prince of Wales-Hyder, Ketchikan Gateway, Petersburg, Wrangell",Coronary Heart Disease,Ages 35-64 years,1327.7,919.5,1853.9
AK,"Prince of Wales-Hyder, Ketchikan Gateway, Petersburg, Wrangell",Coronary Heart Disease,Ages 65 years and older,13575.4,10314.7,17686.5
AK,"Prince of Wales-Hyder, Ketchikan Gateway, Petersburg, Wrangell",Stroke,Ages 35-64 years,241.3,152.1,400.3
AK,"Prince of Wales-Hyder, Ketchikan Gateway, Petersburg, Wrangell",Stroke,Ages 65 years and older,6459.4,4622.7,8704.9
AK,Sitka,Coronary Heart Disease,Ages 35-64 years,1250.7,837.7,1840.7
AK,Sitka,Coronary Heart Disease,Ages 65 years and older,11490.3,8498.5,15383.9
AK,Sitka,Stroke,Ages 35-64 years,359.7,227.4,573.5
AK,Sitka,Stroke,Ages 65 years and older,7737.6,5619.1,10475.3
AK,Southeast Fairbanks,Coronary Heart Disease,Ages 35-64 years,1572.9,1178.0,2097.4
AK,Southeast Fairbanks,Coronary Heart Disease,Ages 65 years and older,13275.0,10309.9,17077.6
AK,Southeast Fairbanks,Stroke,Ages 35-64 years,263.7,172.9,398.8
AK,Southeast Fairbanks,Stroke,Ages 65 years and older,7757.4,5923.2,10204.7
AK,Valdez-Cordova,Coronary Heart Disease,Ages 35-64 years,1050.6,777.4,1445.7
AK,Valdez-Cordova,Coronary Heart Disease,Ages 65 years and older,13587.2,10800.9,17537.0
AK,Valdez-Cordova,Stroke,Ages 35-64 years,232.1,155.2,347.6
AK,Valdez-Cordova,Stroke,Ages 65 years and older,7868.7,6058.2,10334.2
AK,Yakutat,Coronary Heart Disease,Ages 35-64 years,0.0,0.0,0.0
AK,Yakutat,Coronary Heart Disease,Ages 65 years and older,0.0,0.0,0.0
AK,Yakutat,Stroke,Ages 35-64 years,0.0,0.0,0.0
AK,Yakutat,Stroke,Ages 65 years and older,0.0,0.0,0.0
AK,Yukon-Koyukuk,Coronary Heart Disease,Ages 35-64 years,1352.5,1018.7,1785.0
AK,Yukon-Koyukuk,Coronary Heart Disease,Ages 65 years and older,13306.6,10656.7,16761.4
AK,Yukon-Koyukuk,Stroke,Ages 35-64 years,296.8,199.7,436.6
AK,Yukon-Koyukuk,Stroke,Ages 65 years and older,7115.9,5536.7,9213.4
AL,Autauga,Coronary Heart Disease,Ages 35-64 years,1450.9,1196.0,1755.7
AL,Autauga,Coronary Heart Disease,Ages 65 years and older,15311.1,13196.5,17672.3
AL,Autauga,Stroke,Ages 35-64 years,453.6,363.4,573.1
AL,Autauga,Stroke,Ages 65 years and older,7914.8,6756.8,9277.9
AL,Baldwin,Coronary Heart Disease,Ages 35-64 years,1305.0,1125.8,1508.2
AL,Baldwin,Coronary Heart Disease,Ages 65 years and older,15257.4,13874.8,16832.7
AL,Baldwin,Stroke,Ages 35-64 years,344.0,277.5,425.1
AL,Baldwin,Stroke,Ages 65 years and older,6863.2,6110.6,7733.8
AL,Barbour,Coronary Heart Disease,Ages 35-64 years,863.0,653.0,1048.2
AL,Barbour,Coronary Heart Disease,Ages 65 years and older,9299.9,8006.7,10731.1
AL,Barbour,Stroke,Ages 35-64 years,570.7,438.9,724.0
AL,Barbour,Stroke,Ages 65 years and older,7750.4,6580.5,9001.9
AL,Bibb,Coronary Heart Disease,Ages 35-64 years,1725.7,1407.6,2108.0
AL,Bibb,Coronary Heart Disease,Ages 65 years and older,15664.6,13289.4,18368.4
AL,Bibb,Stroke,Ages 35-64 years,893.5,704.1,1122.2
AL,Bibb,Stroke,Ages 65 years and older,9827.5,8281.2,11694.3
AL,Blount,Coronary Heart Disease,Ages 35-64 years,1637.1,1380.5,1952.4
AL,Blount,Coronary Heart Disease,Ages 65 years and older,14723.4,12908.4,16723.5
AL,Blount,Stroke,Ages 35-64 years,384.6,312.3,478.4
AL,Blount,Stroke,Ages 65 years and older,6886.9,5964.9,7926.9
AL,Bullock,Coronary Heart Disease,Ages 35-64 years,2161.9,1626.6,2857.1
AL,Bullock,Coronary Heart Disease,Ages 65 years and older,16600.399999999998,13730.5,19837.9
AL,Bullock,Stroke,Ages 35-64 years,812.6,624.9,1048.5
AL,Bullock,Stroke,Ages 65 years and older,7301.0,6072.9,8700.7
AL,Butler,Coronary Heart Disease,Ages 35-64 years,1498.2,1188.9,1881.1
AL,Butler,Coronary Heart Disease,Ages 65 years and older,14448.4,12344.3,16904.9
AL,Butler,Stroke,Ages 35-64 years,694.6,541.1,918.4
AL,Butler,Stroke,Ages 65 years and older,7560.8,6413.6,8943.7
AL,Calhoun,Coronary Heart Disease,Ages 35-64 years,2543.1,2203.2,2941.2
AL,Calhoun,Coronary Heart Disease,Ages 65 years and older,21127.8,19155.5,23327.1
AL,Calhoun,Stroke,Ages 35-64 years,532.8,439.3,651.0
AL,Calhoun,Stroke,Ages 65 years and older,7376.4,6518.3,8363.2
AL,Chambers,Coronary Heart Disease,Ages 35-64 years,1254.9,1016.2,1557.6
AL,Chambers,Coronary Heart Disease,Ages 65 years and older,11652.6,10000.5,13540.699999999999
AL,Chambers,Stroke,Ages 35-64 years,733.5,579.8,918.1
AL,Chambers,Stroke,Ages 65 years and older,10435.0,9013.1,12044.1
AL,Cherokee,Coronary Heart Disease,Ages 35-64 years,2054.6,1682.3,2524.7
AL,Cherokee,Coronary Heart Disease,Ages 65 years and older,14849.8,12864.1,17191.8
AL,Cherokee,Stroke,Ages 35-64 years,437.4,357.3,562.4
AL,Cherokee,Stroke,Ages 65 years and older,7424.9,6237.0,8757.4
AL,Chilton,Coronary Heart Disease,Ages 35-64 years,2188.7,1854.1,2594.2
AL,Chilton,Coronary Heart Disease,Ages 65 years and older,18104.6,15893.8,20738.3
AL,Chilton,Stroke,Ages 35-64 years,544.9,439.0,666.8
AL,Chilton,Stroke,Ages 65 years and older,7909.2,6807.3,9330.1
AL,Choctaw,Coronary Heart Disease,Ages 35-64 years,2571.0,2027.7,3262.3
AL,Choctaw,Coronary Heart Disease,Ages 65 years and older,16917.3,14306.8,20236.3
AL,Choctaw,Stroke,Ages 35-64 years,703.6,543.4,960.3
AL,Choctaw,Stroke,Ages 65 years and older,8468.5,7204.8,10067.4
AL,Clarke,Coronary Heart Disease,Ages 35-64 years,2085.3,1718.5,2514.0
AL,Clarke,Coronary Heart Disease,Ages 65 years and older,18083.9,15638.3,20808.7
AL,Clarke,Stroke,Ages 35-64 years,599.8,476.9,735.5
AL,Clarke,Stroke,Ages 65 years and older,8012.5,6790.1,9290.3
AL,Clay,Coronary Heart Disease,Ages 35-64 years,2995.8,2418.9,3673.8
AL,Clay,Coronary Heart Disease,Ages 65 years and older,24320.1,20640.1,28264.0
AL,Clay,Stroke,Ages 35-64 years,572.3,436.2,753.3
AL,Clay,Stroke,Ages 65 years and older,6878.6,5766.3,8284.1
AL,Cleburne,Coronary Heart Disease,Ages 35-64 years,1491.9,1214.3,1903.5
AL,Cleburne,Coronary Heart Disease,Ages 65 years and older,13942.2,11457.5,16585.1
AL,Cleburne,Stroke,Ages 35-64 years,602.0,489.3,800.7
AL,Cleburne,Stroke,Ages 65 years and older,6155.7,5021.6,7583.7
AL,Coffee,Coronary Heart Disease,Ages 35-64 years,1662.0,1344.5,1999.8
AL,Coffee,Coronary Heart Disease,Ages 65 years and older,17017.5,14794.1,19552.7
AL,Coffee,Stroke,Ages 35-64 years,483.3,376.0,606.5
AL,Coffee,Stroke,Ages 65 years and older,6896.5,5846.4,8222.3
AL,Colbert,Coronary Heart Disease,Ages 35-64 years,1530.7,1271.9,1851.4
AL,Colbert,Coronary Heart Disease,Ages 65 years and older,15264.2,13294.1,17479.4
AL,Colbert,Stroke,Ages 35-64 years,468.3,372.2,596.9
AL,Colbert,Stroke,Ages 65 years and older,7335.1,6232.0,8537.6
AL,Conecuh,Coronary Heart Disease,Ages 35-64 years,1360.1,1003.8,1897.6
AL,Conecuh,Coronary Heart Disease,Ages 65 years and older,17952.8,14659.8,21739.6
AL,Conecuh,Stroke,Ages 35-64 years,592.4,442.2,818.6
AL,Conecuh,Stroke,Ages 65 years and older,7869.1,6447.9,9473.8
AL,Coosa,Coronary Heart Disease,Ages 35-64 years,1536.1,1204.2,1952.0
AL,Coosa,Coronary Heart Disease,Ages 65 years and older,14401.5,11900.6,17655.5
AL,Coosa,Stroke,Ages 35-64 years,504.2,361.1,670.1
AL,Coosa,Stroke,Ages 65 years and older,7024.5,5730.9,8573.7
AL,Covington,Coronary Heart Disease,Ages 35-64 years,1637.7,1353.2,1980.0
AL,Covington,Coronary Heart Disease,Ages 65 years and older,16212.4,14237.2,18398.4
AL,Covington,Stroke,Ages 35-64 years,514.9,408.90000000000003,633.1
AL,Covington,Stroke,Ages 65 years and older,8750.7,7570.2,10041.2
AL,Crenshaw,Coronary Heart Disease,Ages 35-64 years,1507.3,1194.5,1849.9
AL,Crenshaw,Coronary Heart Disease,Ages 65 years and older,14128.2,11992.5,16724.3
AL,Crenshaw,Stroke,Ages 35-64 years,570.1,462.4,710.3
AL,Crenshaw,Stroke,Ages 65 years and older,7405.4,6298.0,8795.7
AL,Cullman,Coronary Heart Disease,Ages 35-64 years,2047.3,1750.5,2399.7
AL,Cullman,Coronary Heart Disease,Ages 65 years and older,17232.0,15345.1,19343.9
AL,Cullman,Stroke,Ages 35-64 years,514.4,423.8,631.8
AL,Cullman,Stroke,Ages 65 years and older,8139.2,7154.3,9277.5
AL,Dale,Coronary Heart Disease,Ages 35-64 years,1392.6,1166.1,1664.3
AL,Dale,Coronary Heart Disease,Ages 65 years and older,16662.2,14554.3,19137.2
AL,Dale,Stroke,Ages 35-64 years,479.3,389.2,586.6
AL,Dale,Stroke,Ages 65 years and older,5806.3,4940.0,6811.6
AL,Dallas,Coronary Heart Disease,Ages 35-64 years,2828.6,2393.2,3341.0
AL,Dallas,Coronary Heart Disease,Ages 65 years and older,18733.3,16475.8,21231.3
AL,Dallas,Stroke,Ages 35-64 years,901.3,741.6,1094.8
AL,Dallas,Stroke,Ages 65 years and older,8530.7,7274.8,9880.3
AL,DeKalb,Coronary Heart Disease,Ages 35-64 years,1369.0,1151.2,1612.2
AL,DeKalb,Coronary Heart Disease,Ages 65 years and older,16572.9,14590.9,18766.2
AL,DeKalb,Stroke,Ages 35-64 years,425.7,341.1,531.7
AL,DeKalb,Stroke,Ages 65 years and older,6903.6,5943.8,7992.1
AL,Elmore,Coronary Heart Disease,Ages 35-64 years,1198.7,1011.8000000000001,1438.3
AL,Elmore,Coronary Heart Disease,Ages 65 years and older,12799.7,11213.2,14665.3
AL,Elmore,Stroke,Ages 35-64 years,474.0,389.0,581.9
AL,Elmore,Stroke,Ages 65 years and older,7033.2,6059.5,8226.8
AL,Escambia,Coronary Heart Disease,Ages 35-64 years,1907.4,1568.8,2319.2
AL,Escambia,Coronary Heart Disease,Ages 65 years and older,21295.1,18763.9,24198.2
AL,Escambia,Stroke,Ages 35-64 years,656.4,495.5,812.8
AL,Escambia,Stroke,Ages 65 years and older,7699.7,6691.6,8953.0
AL,Etowah,Coronary Heart Disease,Ages 35-64 years,2608.5,2269.9,3004.9
AL,Etowah,Coronary Heart Disease,Ages 65 years and older,18454.6,16646.7,20429.8
AL,Etowah,Stroke,Ages 35-64 years,500.9,413.3,613.4
AL,Etowah,Stroke,Ages 65 years and older,7610.7,6709.7,8623.3
AL,Fayette,Coronary Heart Disease,Ages 35-64 years,1755.4,1375.3,2250.4
AL,Fayette,Coronary Heart Disease,Ages 65 years and older,14979.3,12758.2,17747.5
AL,Fayette,Stroke,Ages 35-64 years,484.9,368.4,661.8
AL,Fayette,Stroke,Ages 65 years and older,9338.1,7883.2,11299.7
AL,Franklin,Coronary Heart Disease,Ages 35-64 years,1467.5,1196.5,1812.9
AL,Franklin,Coronary Heart Disease,Ages 65 years and older,17996.2,15648.0,20893.3
AL,Franklin,Stroke,Ages 35-64 years,503.7,398.7,628.4
AL,Franklin,Stroke,Ages 65 years and older,10357.8,8816.6,12250.6
AL,Geneva,Coronary Heart Disease,Ages 35-64 years,1817.3,1483.4,2213.4
AL,Geneva,Coronary Heart Disease,Ages 65 years and older,18434.1,15986.6,21124.3
AL,Geneva,Stroke,Ages 35-64 years,517.5,418.0,653.2
AL,Geneva,Stroke,Ages 65 years and older,7344.2,6341.3,8704.4
AL,Greene,Coronary Heart Disease,Ages 35-64 years,963.6,706.3,1286.4
AL,Greene,Coronary Heart Disease,Ages 65 years and older,7285.099999999999,6103.099999999999,8776.5
AL,Greene,Stroke,Ages 35-64 years,670.2,488.9,918.5
AL,Greene,Stroke,Ages 65 years and older,6406.6,5255.4,7906.1
AL,Hale,Coronary Heart Disease,Ages 35-64 years,1789.5,1363.3,2347.2
AL,Hale,Coronary Heart Disease,Ages 65 years and older,13653.4,11292.0,16634.7
AL,Hale,Stroke,Ages 35-64 years,767.5,584.8,1060.0
AL,Hale,Stroke,Ages 65 years and older,7589.5,6307.1,9267.3
AL,Henry,Coronary Heart Disease,Ages 35-64 years,1344.5,1063.7,1719.1
AL,Henry,Coronary Heart Disease,Ages 65 years and older,14739.4,12134.1,17567.0
AL,Henry,Stroke,Ages 35-64 years,624.9,484.2,819.5
AL,Henry,Stroke,Ages 65 years and older,8042.1,6701.1,9616.1
AL,Houston,Coronary Heart Disease,Ages 35-64 years,994.6,833.1,1183.3
AL,Houston,Coronary Heart Disease,Ages 65 years and older,13009.9,11479.2,14684.9
AL,Houston,Stroke,Ages 35-64 years,414.6,338.4,504.4
AL,Houston,Stroke,Ages 65 years and older,6654.3,5845.8,7556.0
AL,Jackson,Coronary Heart Disease,Ages 35-64 years,2303.6,1943.4,2716.8
AL,Jackson,Coronary Heart Disease,Ages 65 years and older,17503.8,15375.0,19756.2
AL,Jackson,Stroke,Ages 35-64 years,469.9,361.6,599.8
AL,Jackson,Stroke,Ages 65 years and older,7861.3,6790.4,9093.9
AL,Jefferson,Coronary Heart Disease,Ages 35-64 years,1358.2,1225.4,1506.2
AL,Jefferson,Coronary Heart Disease,Ages 65 years and older,12779.8,11979.2,13624.2
AL,Jefferson,Stroke,Ages 35-64 years,649.3,567.9,742.4
AL,Jefferson,Stroke,Ages 65 years and older,8875.3,8218.3,9562.1
AL,Lamar,Coronary Heart Disease,Ages 35-64 years,1726.7,1319.8,2274.3
AL,Lamar,Coronary Heart Disease,Ages 65 years and older,16571.9,13951.7,19368.8
AL,Lamar,Stroke,Ages 35-64 years,660.1,507.8,876.8
AL,Lamar,Stroke,Ages 65 years and older,8144.3,6788.3,9807.1
AL,Lauderdale,Coronary Heart Disease,Ages 35-64 years,1245.6,1059.1,1469.9
AL,Lauderdale,Coronary Heart Disease,Ages 65 years and older,11924.7,10709.9,13286.3
AL,Lauderdale,Stroke,Ages 35-64 years,475.0,386.1,573.0
AL,Lauderdale,Stroke,Ages 65 years and older,7927.2,7053.8,8909.6
AL,Lawrence,Coronary Heart Disease,Ages 35-64 years,1726.6,1409.4,2097.9
AL,Lawrence,Coronary Heart Disease,Ages 65 years and older,16955.3,14718.8,19534.0
AL,Lawrence,Stroke,Ages 35-64 years,470.4,376.2,595.8
AL,Lawrence,Stroke,Ages 65 years and older,9127.1,7831.6,10559.9
AL,Lee,Coronary Heart Disease,Ages 35-64 years,1370.8,1162.5,1617.1
AL,Lee,Coronary Heart Disease,Ages 65 years and older,13005.8,11506.9,14695.0
AL,Lee,Stroke,Ages 35-64 years,488.3,398.3,605.0
AL,Lee,Stroke,Ages 65 years and older,7531.9,6602.7,8661.0
AL,Limestone,Coronary Heart Disease,Ages 35-64 years,1329.3,1125.4,1577.3
AL,Limestone,Coronary Heart Disease,Ages 65 years and older,15155.2,13328.4,17068.3
AL,Limestone,Stroke,Ages 35-64 years,401.2,325.9,498.2
AL,Limestone,Stroke,Ages 65 years and older,7801.7,6673.9,8969.7
AL,Lowndes,Coronary Heart Disease,Ages 35-64 years,1257.1,998.1,1591.0
AL,Lowndes,Coronary Heart Disease,Ages 65 years and older,14199.0,11692.5,16958.5
AL,Lowndes,Stroke,Ages 35-64 years,952.0,718.6,1201.0
AL,Lowndes,Stroke,Ages 65 years and older,7625.6,5956.0,9288.8
AL,Macon,Coronary Heart Disease,Ages 35-64 years,1485.0,1165.7,1845.5
AL,Macon,Coronary Heart Disease,Ages 65 years and older,12840.5,10635.7,15124.6
AL,Macon,Stroke,Ages 35-64 years,769.5,606.1,967.3
AL,Macon,Stroke,Ages 65 years and older,6990.5,5776.1,8190.4
AL,Madison,Coronary Heart Disease,Ages 35-64 years,874.3,750.8,1003.7
AL,Madison,Coronary Heart Disease,Ages 65 years and older,9498.8,8599.4,10466.6
AL,Madison,Stroke,Ages 35-64 years,344.3,285.7,411.2
AL,Madison,Stroke,Ages 65 years and older,7019.9,6293.0,7810.8
AL,Marengo,Coronary Heart Disease,Ages 35-64 years,2494.0,2082.1,3003.4
AL,Marengo,Coronary Heart Disease,Ages 65 years and older,17317.4,14984.5,19846.1
AL,Marengo,Stroke,Ages 35-64 years,922.2,725.9,1148.2
AL,Marengo,Stroke,Ages 65 years and older,8202.6,6980.7,9557.2
AL,Marion,Coronary Heart Disease,Ages 35-64 years,3342.8,2787.4,3949.1
AL,Marion,Coronary Heart Disease,Ages 65 years and older,17905.8,15654.6,20375.6
AL,Marion,Stroke,Ages 35-64 years,438.6,352.5,546.1
AL,Marion,Stroke,Ages 65 years and older,7441.3,6452.0,8598.6
AL,Marshall,Coronary Heart Disease,Ages 35-64 years,1980.6,1689.1,2305.5
AL,Marshall,Coronary Heart Disease,Ages 65 years and older,14975.7,13385.3,16684.5
AL,Marshall,Stroke,Ages 35-64 years,431.1,348.1,531.4
AL,Marshall,Stroke,Ages 65 years and older,9476.2,8376.3,10698.9
AL,Mobile,Coronary Heart Disease,Ages 35-64 years,1938.7,1730.0,2162.1
AL,Mobile,Coronary Heart Disease,Ages 65 years and older,18218.6,16971.6,19556.8
AL,Mobile,Stroke,Ages 35-64 years,586.4,501.7,682.2
AL,Mobile,Stroke,Ages 65 years and older,7431.5,6752.1,8160.3
AL,Monroe,Coronary Heart Disease,Ages 35-64 years,1337.7,1076.0,1730.1
AL,Monroe,Coronary Heart Disease,Ages 65 years and older,14229.199999999999,12289.3,16366.4
AL,Monroe,Stroke,Ages 35-64 years,673.7,535.5,915.8
AL,Monroe,Stroke,Ages 65 years and older,7653.2,6535.7,8941.8
AL,Montgomery,Coronary Heart Disease,Ages 35-64 years,1221.2,1058.6,1409.2
AL,Montgomery,Coronary Heart Disease,Ages 65 years and older,14086.2,12804.2,15453.4
AL,Montgomery,Stroke,Ages 35-64 years,642.8,544.8,755.7
AL,Montgomery,Stroke,Ages 65 years and older,7118.3,6376.8,7941.9
AL,Morgan,Coronary Heart Disease,Ages 35-64 years,1780.6,1519.5,2078.9
AL,Morgan,Coronary Heart Disease,Ages 65 years and older,14305.6,12732.1,16065.3
AL,Morgan,Stroke,Ages 35-64 years,423.4,342.4,512.6
AL,Morgan,Stroke,Ages 65 years and older,7330.3,6396.3,8396.7
AL,Perry,Coronary Heart Disease,Ages 35-64 years,2038.1,1566.4,2645.6
AL,Perry,Coronary Heart Disease,Ages 65 years and older,13700.8,11261.7,16886.6
AL,Perry,Stroke,Ages 35-64 years,966.6,687.2,1370.0
AL,Perry,Stroke,Ages 65 years and older,8951.3,7139.8,11081.7
AL,Pickens,Coronary Heart Disease,Ages 35-64 years,1365.5,1086.5,1708.0
AL,Pickens,Coronary Heart Disease,Ages 65 years and older,11039.2,9423.7,12867.0
AL,Pickens,Stroke,Ages 35-64 years,702.6,540.5,903.5
AL,Pickens,Stroke,Ages 65 years and older,7496.8,6423.9,8753.4
AL,Pike,Coronary Heart Disease,Ages 35-64 years,1308.2,1058.9,1643.6
AL,Pike,Coronary Heart Disease,Ages 65 years and older,12457.300000000001,10537.4,14746.7
AL,Pike,Stroke,Ages 35-64 years,642.8,508.7,820.3
AL,Pike,Stroke,Ages 65 years and older,7282.7,6113.5,8596.3
AL,Randolph,Coronary Heart Disease,Ages 35-64 years,2644.5,2168.7,3241.9
AL,Randolph,Coronary Heart Disease,Ages 65 years and older,18883.8,16374.8,21685.3
AL,Randolph,Stroke,Ages 35-64 years,561.4,446.5,724.3
AL,Randolph,Stroke,Ages 65 years and older,7571.0,6366.2,9101.2
AL,Russell,Coronary Heart Disease,Ages 35-64 years,1320.1,1103.6,1583.3
AL,Russell,Coronary Heart Disease,Ages 65 years and older,12519.2,10859.5,14314.2
AL,Russell,Stroke,Ages 35-64 years,702.9,572.9,877.1
AL,Russell,Stroke,Ages 65 years and older,7789.0,6711.6,9047.3
AL,Shelby,Coronary Heart Disease,Ages 35-64 years,753.8000000000001,630.9,891.0
AL,Shelby,Coronary Heart Disease,Ages 65 years and older,10777.8,9534.4,12173.9
AL,Shelby,Stroke,Ages 35-64 years,289.6,232.0,354.3
AL,Shelby,Stroke,Ages 65 years and older,7074.2,6182.8,8116.5
AL,St. Clair,Coronary Heart Disease,Ages 35-64 years,2013.9,1715.3,2366.7
AL,St. Clair,Coronary Heart Disease,Ages 65 years and older,15609.6,13908.7,17656.8
AL,St. Clair,Stroke,Ages 35-64 years,480.5,393.1,590.7
AL,St. Clair,Stroke,Ages 65 years and older,8238.1,7186.5,9436.4
AL,Sumter,Coronary Heart Disease,Ages 35-64 years,1592.3,1224.0,2001.1
AL,Sumter,Coronary Heart Disease,Ages 65 years and older,10881.7,9012.2,12833.9
AL,Sumter,Stroke,Ages 35-64 years,809.6,628.2,1063.4
AL,Sumter,Stroke,Ages 65 years and older,7027.8,5775.3,8255.9
AL,Talladega,Coronary Heart Disease,Ages 35-64 years,1424.6,1195.5,1690.8
AL,Talladega,Coronary Heart Disease,Ages 65 years and older,12440.4,11027.4,14079.800000000001
AL,Talladega,Stroke,Ages 35-64 years,665.5,547.7,821.5
AL,Talladega,Stroke,Ages 65 years and older,8584.2,7496.1,9806.1
